date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:04	30012/30012	---M--	200	added ('OK')	application/font-woff2	etag:%222b20fd1b22f62266b6224551800c0f30458c84b3%22	https://use.typekit.net/af/483ddc/0000000000000000000132c9/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n6&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/483ddc/0000000000000000000132c9/27/l5bba	(from https://use.typekit.net/cyz8hzw.css)
12:17:06	31168/31168	---M--	200	added ('OK')	application/font-woff	etag:%222b20fd1b22f62266b6224551800c0f30458c84b3%22	https://use.typekit.net/af/483ddc/0000000000000000000132c9/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n6&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/483ddc/0000000000000000000132c9/27/d5bba	(from https://use.typekit.net/cyz8hzw.css)
12:17:08	59312/59312	---M-Z	200	added ('OK')	font/opentype	etag:W/%222b20fd1b22f62266b6224551800c0f30458c84b3%22	https://use.typekit.net/af/483ddc/0000000000000000000132c9/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n6&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/483ddc/0000000000000000000132c9/27/a5bba	(from https://use.typekit.net/cyz8hzw.css)
12:17:09	18068/18068	---M--	200	added ('OK')	application/font-woff2	etag:%22e120da2743159d9bd5b6acbf951b869a1a6b1a4e%22	https://use.typekit.net/af/ef2129/00000000000000003b9b387c/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/ef2129/00000000000000003b9b387c/27/le196	(from https://use.typekit.net/cyz8hzw.css)
12:17:11	18272/18272	---M--	200	added ('OK')	application/font-woff	etag:%22e120da2743159d9bd5b6acbf951b869a1a6b1a4e%22	https://use.typekit.net/af/ef2129/00000000000000003b9b387c/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/ef2129/00000000000000003b9b387c/27/de196	(from https://use.typekit.net/cyz8hzw.css)
12:17:13	25396/25396	---M-Z	200	added ('OK')	font/opentype	etag:W/%22e120da2743159d9bd5b6acbf951b869a1a6b1a4e%22	https://use.typekit.net/af/ef2129/00000000000000003b9b387c/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/ef2129/00000000000000003b9b387c/27/ae196	(from https://use.typekit.net/cyz8hzw.css)
12:17:15	18000/18000	---M--	200	added ('OK')	application/font-woff2	etag:%22112e33239582b68be657159b85f4e16e5ce72672%22	https://use.typekit.net/af/403911/00000000000000003b9b3880/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n6&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/403911/00000000000000003b9b3880/27/l5bba	(from https://use.typekit.net/cyz8hzw.css)
12:17:17	18352/18352	---M--	200	added ('OK')	application/font-woff	etag:%22112e33239582b68be657159b85f4e16e5ce72672%22	https://use.typekit.net/af/403911/00000000000000003b9b3880/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n6&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/403911/00000000000000003b9b3880/27/d5bba	(from https://use.typekit.net/cyz8hzw.css)
12:17:20	25752/25752	---M-Z	200	added ('OK')	font/opentype	etag:W/%22112e33239582b68be657159b85f4e16e5ce72672%22	https://use.typekit.net/af/403911/00000000000000003b9b3880/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n6&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/403911/00000000000000003b9b3880/27/a5bba	(from https://use.typekit.net/cyz8hzw.css)
12:17:22	17288/17288	---M--	200	added ('OK')	application/font-woff2	etag:%22e8f21a1781c3bca98bd787b1a85c27c9ab06dcb8%22	https://use.typekit.net/af/aa1d64/00000000000000003b9b387a/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/aa1d64/00000000000000003b9b387a/27/l3eab	(from https://use.typekit.net/cyz8hzw.css)
12:17:24	17720/17720	---M--	200	added ('OK')	application/font-woff	etag:%22e8f21a1781c3bca98bd787b1a85c27c9ab06dcb8%22	https://use.typekit.net/af/aa1d64/00000000000000003b9b387a/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/aa1d64/00000000000000003b9b387a/27/d3eab	(from https://use.typekit.net/cyz8hzw.css)
